,Municipio,Estado,desmatamento_pro
275,São Miguel do Guamá,PA,0.7989256938227395
276,São Sebastião da Boa Vista,PA,0.07628361858190709
277,Sapucaia,PA,0.9046153846153846
278,Senador José Porfírio,PA,0.11688095072624921
279,Soure,PA,0.010005668934240363
280,Tailândia,PA,0.5354077735340372
281,Terra Alta,PA,0.8267942583732057
282,Terra Santa,PA,0.19626315789473683
283,Tomé-Açu,PA,0.5921067904817179
284,Tracuateua,PA,0.5479020979020979
285,Trairão,PA,0.14836209052263066
286,Tucumã,PA,0.9170314365300438
287,Tucuruí,PA,0.4125059665871122
288,Ulianópolis,PA,0.7219250292854353
289,Uruará,PA,0.3629238465814341
290,Vigia,PA,0.41119402985074627
291,Viseu,PA,0.7057533695433514
292,Vitória do Xingu,PA,0.6425063775510205
293,Xinguara,PA,0.8920116003163723
294,Serra do Navio,AP,0.009494975521772739
295,Amapá,AP,0.012018288700195952
296,Pedra Branca do Amapari,AP,0.026824644549763032
297,Calçoene,AP,0.013904641881957572
298,Cutias,AP,0.08899385923476619
299,Ferreira Gomes,AP,0.02890826233405984
300,Itaubal,AP,0.05604460093896713
301,Laranjal do Jari,AP,0.006605540130431975
302,Macapá,AP,0.06616295373111077
303,Mazagão,AP,0.01025875190258752
304,Oiapoque,AP,0.009954950976062185
305,Porto Grande,AP,0.08411617880644429
306,Pracuúba,AP,0.017401812688821752
307,Santana,AP,0.04873257287705957
308,Tartarugalzinho,AP,0.04979160464423936
309,Vitória do Jari,AP,0.08621523579201935
310,Abreulândia,TO,0.00531578947368421
311,Aguiarnópolis,TO,0.4724576271186441
312,Aliança do Tocantins,TO,0.0
313,Almas,TO,0.0
314,Alvorada,TO,0.0
315,Ananás,TO,0.7392564587271582
316,Angico,TO,0.45099337748344376
317,Aparecida do Rio Negro,TO,0.0
318,Aragominas,TO,0.8680508474576271
319,Araguacema,TO,0.023510409188801148
320,Araguaçu,TO,0.0
321,Araguaína,TO,0.6721074894252301
322,Araguanã,TO,0.8884248210023866
323,Araguatins,TO,0.6992808478425435
324,Arapoema,TO,0.9429396662387676
325,Arraias,TO,0.0
326,Augustinópolis,TO,0.9659949622166247
327,Aurora do Tocantins,TO,0.0
328,Axixá do Tocantins,TO,0.9353333333333335
329,Babaçulândia,TO,0.0019487750556792874
330,Bandeirantes do Tocantins,TO,0.9693798449612403
331,Barra do Ouro,TO,0.0
332,Barrolândia,TO,0.0
333,Bernardo Sayão,TO,0.9626881720430107
334,Bom Jesus do Tocantins,TO,0.005904334828101644
335,Brasilândia do Tocantins,TO,0.3410575427682737
336,Brejinho de Nazaré,TO,0.0
337,Buriti do Tocantins,TO,0.8568
338,Cachoeirinha,TO,0.31468926553672316
339,Campos Lindos,TO,3.0618493570116355e-05
340,Cariri do Tocantins,TO,0.0
341,Carmolândia,TO,0.9070588235294117
342,Carrasco Bonito,TO,0.6768041237113402
343,Caseara,TO,0.18255745433117265
344,Centenário,TO,0.0
345,Chapada de Areia,TO,0.0033282904689863847
346,Chapada da Natividade,TO,0.0
347,Colinas do Tocantins,TO,0.7828807556080284
348,Combinado,TO,0.0
349,Conceição do Tocantins,TO,0.0
350,Couto Magalhães,TO,0.14808296668761783
351,Cristalândia,TO,0.0
352,Crixás do Tocantins,TO,0.0
353,Darcinópolis,TO,0.06579745300181929
354,Dianópolis,TO,0.0
355,Divinópolis do Tocantins,TO,0.007855626326963907
356,Dois Irmãos do Tocantins,TO,0.01837221633085896
357,Dueré,TO,0.015283842794759825
358,Esperantina,TO,0.43603960396039604
359,Fátima,TO,0.0
360,Figueirópolis,TO,0.0
361,Filadélfia,TO,0.0
362,Formoso do Araguaia,TO,0.01571396714487475
363,Fortaleza do Tabocão,TO,0.6451923076923077
364,Goianorte,TO,0.058282548476454296
365,Goiatins,TO,0.0
366,Guaraí,TO,0.4554872695346795
367,Gurupi,TO,0.0
368,Ipueiras,TO,0.0
369,Itacajá,TO,0.0
370,Itaguatins,TO,0.494765100671141
371,Itapiratins,TO,0.0
372,Itaporã do Tocantins,TO,0.954145342886387
373,Jaú do Tocantins,TO,0.0
374,Juarina,TO,0.43775933609958506
375,Lagoa da Confusão,TO,0.0272478277295051
376,Lagoa do Tocantins,TO,0.0
377,Lajeado,TO,0.0
378,Lavandeira,TO,0.0
379,Lizarda,TO,0.0
380,Luzinópolis,TO,0.5640569395017794
381,Marianópolis do Tocantins,TO,0.08053435114503818
382,Mateiros,TO,0.0
383,Maurilândia do Tocantins,TO,0.19460188933873143
384,Miracema do Tocantins,TO,0.0
385,Miranorte,TO,0.30801158301158305
386,Monte do Carmo,TO,0.0
387,Monte Santo do Tocantins,TO,0.002098540145985401
388,Palmeiras do Tocantins,TO,0.07909454061251664
389,Muricilândia,TO,0.806035205364627
390,Natividade,TO,0.0
391,Nazaré,TO,0.7158291457286432
392,Nova Olinda,TO,0.5080101716465353
393,Nova Rosalândia,TO,0.0
394,Novo Acordo,TO,0.0
395,Novo Alegre,TO,0.0
396,Novo Jardim,TO,0.0
397,Oliveira de Fátima,TO,0.0
398,Palmeirante,TO,0.03907309721175584
399,Palmeirópolis,TO,0.0
400,Paraíso do Tocantins,TO,0.0
401,Paranã,TO,0.0
402,Pau D'Arco,TO,0.8206372194062274
403,Pedro Afonso,TO,0.016180108857001486
404,Peixe,TO,0.0
405,Pequizeiro,TO,0.6976916735366858
406,Colméia,TO,0.7601005025125628
407,Pindorama do Tocantins,TO,0.0
408,Piraquê,TO,0.8045851528384279
409,Pium,TO,0.0035176880916791228
410,Ponte Alta do Bom Jesus,TO,0.0
411,Ponte Alta do Tocantins,TO,0.0
412,Porto Alegre do Tocantins,TO,0.0
413,Porto Nacional,TO,0.0
414,Praia Norte,TO,0.8082474226804124
415,Presidente Kennedy,TO,0.4422480620155039
416,Pugmil,TO,0.0
417,Recursolândia,TO,0.019192825112107622
418,Riachinho,TO,0.8617307692307693
419,Rio da Conceição,TO,0.0
420,Rio dos Bois,TO,0.02099056603773585
421,Rio Sono,TO,0.0
422,Sampaio,TO,0.342152466367713
423,Sandolândia,TO,0.0020361990950226246
424,Santa Fé do Araguaia,TO,0.7565062388591801
425,Santa Maria do Tocantins,TO,0.0
426,Santa Rita do Tocantins,TO,0.0074885844748858454
427,Santa Rosa do Tocantins,TO,0.0
428,Santa Tereza do Tocantins,TO,0.0
429,Santa Terezinha do Tocantins,TO,0.27970479704797047
430,São Bento do Tocantins,TO,0.31726618705035975
431,São Félix do Tocantins,TO,0.0
432,São Miguel do Tocantins,TO,0.8647499999999999
433,São Salvador do Tocantins,TO,0.0
434,São Sebastião do Tocantins,TO,0.4724738675958188
435,São Valério da Natividade,TO,0.0
436,Silvanópolis,TO,0.0
437,Sítio Novo do Tocantins,TO,0.9203076923076924
438,Sucupira,TO,0.0
439,Taguatinga,TO,0.0
440,Taipas do Tocantins,TO,0.0
441,Talismã,TO,0.0
442,Palmas,TO,0.0
443,Tocantínia,TO,0.0
444,Tocantinópolis,TO,0.27963133640552995
445,Tupirama,TO,0.0
446,Tupiratins,TO,0.002444444444444445
447,Wanderlândia,TO,0.2328509406657019
448,Xambioá,TO,0.8421494542401343
449,Açailândia,MA,0.9208689702360587
450,Alcântara,MA,0.601062416998672
451,Altamira do Maranhão,MA,1.0009225092250922
452,Alto Alegre do Maranhão,MA,0.4878865979381444
453,Alto Alegre do Pindaré,MA,0.9565863659661712
454,Alto Parnaíba,MA,0.0
455,Amapá do Maranhão,MA,0.7911242603550296
456,Amarante do Maranhão,MA,0.3070735807577913
457,Anajatuba,MA,0.3080078125
458,Apicum-Açu,MA,0.4785100286532951
459,Araguanã,MA,0.934525277435265
460,Arame,MA,0.6442276422764228
